example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.25287 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00809 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00821 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00583 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02427 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.00773 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.00725 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00686 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.00745 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00669 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.005 seconds   |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00482 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00486 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.0048 seconds  |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01207 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00529 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01197 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.04906 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.00894 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00627 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00602 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00557 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00582 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.0137 seconds  |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00573 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01432 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01896 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00802 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00603 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00626 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.00659 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00644 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00604 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00605 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.07454 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00951 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.04329 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.06115 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.05192 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.02693 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.0253 seconds  |
./spec/features/calculations_spec.rb[42:1] | passed | 0.00794 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00556 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00502 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00511 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00462 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00446 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.01386 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00506 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.06133 seconds |
